"EVTYPE";"BGN_DATE";"STATE";"nobs";"qFA";"qIN";"qPR";"qCR"
"342";"flood";1999;"NM";51;0;0;3890000;150000
"343";"flood";1999;"NV";14;1;1;25009000;0
"344";"flood";1999;"NY";106;2;0;33184600;5e+05
"345";"flood";1999;"OH";70;2;1;893500;0
"346";"flood";1999;"OK";214;2;0;7794500;0
"347";"flood";1999;"OR";21;0;0;4820000;0
"348";"flood";1999;"PA";122;6;39;97857000;0
"349";"flood";1999;"PR";93;0;1;1496000;0
"350";"flood";1999;"RI";4;0;0;0;0
"351";"flood";1999;"SC";41;0;0;75000;0
"352";"flood";1999;"SD";32;0;0;949000;0
"353";"flood";1999;"TN";107;0;0;554000;0
"354";"flood";1999;"TX";360;2;7;8022500;4140000
"355";"flood";1999;"UT";9;0;0;125000;7000
"356";"flood";1999;"VA";159;1;1;17189000;3700000
"357";"flood";1999;"VI";17;0;0;0;0
"358";"flood";1999;"VT";10;0;0;832000;0
"359";"flood";1999;"WA";10;0;0;1096000;0
"360";"flood";1999;"WI";78;0;1;6582000;1222500
"361";"flood";1999;"WV";21;1;0;363000;0
"362";"flood";1999;"WY";4;0;0;20000;0
"363";"flood";2000;"AK";19;0;0;110000;0
"364";"flood";2000;"AL";39;0;0;3077000;0
"365";"flood";2000;"AR";59;0;0;2373000;0
"366";"flood";2000;"AS";9;0;0;440000;0
"367";"flood";2000;"AZ";55;1;0;10433000;3010000
"368";"flood";2000;"CA";112;3;9;5473000;0
"369";"flood";2000;"CO";35;1;0;97000;2e+05
"370";"flood";2000;"CT";21;0;0;6135000;0
"371";"flood";2000;"DE";8;0;0;0;0
"372";"flood";2000;"FL";253;0;0;455850500;5.13e+08
"373";"flood";2000;"GA";45;0;0;2201000;0
"374";"flood";2000;"GU";27;0;0;0;0
"375";"flood";2000;"HI";49;0;0;70400000;0
"376";"flood";2000;"IA";110;2;1;8380000;6497000
"377";"flood";2000;"ID";4;0;0;85000;0
"378";"flood";2000;"IL";123;4;1;2905000;0
"379";"flood";2000;"IN";112;1;0;719000;1e+05
"380";"flood";2000;"KS";69;0;0;0;250000
"381";"flood";2000;"KY";213;1;1;17795000;0
"382";"flood";2000;"LA";26;2;0;198000;0
"383";"flood";2000;"MA";23;0;0;254000;0
"384";"flood";2000;"MD";45;0;0;2452000;0
"385";"flood";2000;"ME";26;0;0;1814000;0
"386";"flood";2000;"MI";64;0;0;23760000;9e+05
"387";"flood";2000;"MN";44;1;0;31897000;31215000
"388";"flood";2000;"MO";111;2;0;109735000;0
"389";"flood";2000;"MS";25;0;0;488000;0
"390";"flood";2000;"MT";10;0;0;30000;0
"391";"flood";2000;"NC";89;0;3;7565000;0
"392";"flood";2000;"ND";53;2;0;125200000;6.5e+07
"393";"flood";2000;"NE";42;0;0;3556000;1.7e+07
"394";"flood";2000;"NH";10;0;0;15000;0
"395";"flood";2000;"NJ";50;0;0;179100000;0
"396";"flood";2000;"NM";39;0;0;190000;0
"397";"flood";2000;"NV";8;0;0;221000;0
"398";"flood";2000;"NY";206;1;0;21829000;20000
"399";"flood";2000;"OH";207;3;2;9012000;0
"400";"flood";2000;"OK";129;1;2;21148700;0
"401";"flood";2000;"OR";7;0;0;1010000;0
"402";"flood";2000;"PA";144;0;4;30326000;0
"403";"flood";2000;"PR";53;0;0;327000;0
"404";"flood";2000;"RI";2;0;0;0;0
"405";"flood";2000;"SC";40;1;1;2885000;0
"406";"flood";2000;"SD";5;0;0;0;0
"407";"flood";2000;"TN";80;0;0;230000;0
"408";"flood";2000;"TX";468;9;12;32264000;990000
"409";"flood";2000;"UT";13;0;0;640000;39000
"410";"flood";2000;"VA";165;1;6;1368000;0
"411";"flood";2000;"VI";8;0;0;0;0
"412";"flood";2000;"VT";41;0;0;3227000;0
"413";"flood";2000;"WA";4;0;0;130000;0
"414";"flood";2000;"WI";120;1;5;45738850;41098000
"415";"flood";2000;"WV";97;3;0;11002900;0
"416";"flood";2000;"WY";5;0;0;20000;0
"417";"flood";2001;"AK";10;0;0;749500;0
"418";"flood";2001;"AL";68;0;4;1142000;0
"419";"flood";2001;"AM";6;0;0;0;0
"420";"flood";2001;"AR";161;0;0;120982000;1e+05
"421";"flood";2001;"AS";10;0;0;0;0
"422";"flood";2001;"AZ";41;6;0;306000;0
"423";"flood";2001;"CA";108;0;5;12030000;0
"424";"flood";2001;"CO";63;0;0;1142000;1e+05
"425";"flood";2001;"CT";33;0;0;112000;0
"426";"flood";2001;"DC";3;0;2;6e+06;0
